rule_id,tier,truth_group,wn_min,wn_max,chem_n_pos,chem_sens,chem_spec,chem_LR_pos,chem_LR_pos_boot_lo,chem_LR_pos_boot_hi,chem_LR_neg,chem_LR_pos_position_only,chem_underpowered,nist_n,nist_n_pos,nist_sens,nist_spec,nist_LR_pos,nist_LR_pos_boot_lo,nist_LR_pos_boot_hi,nist_LR_neg,nist_LR_pos_position_only,nist_underpowered,ratio_LR_pos_nist_over_chem
SMITH-BR6-KET-SAT-CO,group,ketone_saturated,1705.0,1725.0,41,0.585,0.901,5.89,3.19,9.55,0.46,2.95,False,5124,173,0.387,0.926,5.25,3.62,6.43,0.66,4.45,False,0.89
SMITH-BR6-KET-AR-CO,group,ketone_aromatic,1640.0,1700.0,159,0.535,0.787,2.51,1.66,3.37,0.59,1.45,False,5124,219,0.525,0.813,2.81,1.97,3.66,0.58,2.26,False,1.12
SMITH-BR6-KET-SAT-CCC,group,ketone_saturated,1100.0,1230.0,41,0.415,0.506,0.84,0.46,1.32,1.16,0.98,False,5124,173,0.208,0.666,0.62,0.42,0.76,1.19,1.05,False,0.74
SMITH-BR6-KET-AR-CCC,group,ketone_aromatic,1230.0,1300.0,159,0.447,0.704,1.51,0.85,2.27,0.79,1.03,False,5124,219,0.607,0.741,2.35,1.53,3.23,0.53,1.13,False,1.56
SMITH-BR6-ACID-SAT-CO,group,carboxylic_acid_saturated,1700.0,1730.0,10,0.2,0.848,1.32,0.23,4.2,0.94,1.59,False,5124,211,0.493,0.882,4.17,3.62,5.14,0.58,2.96,False,3.16
SMITH-BR6-ACID-AR-CO,group,carboxylic_acid_aromatic,1680.0,1710.0,29,0.621,0.87,4.76,3.13,7.18,0.44,2.41,False,5124,91,0.407,0.89,3.7,2.49,4.48,0.67,3.54,False,0.78
SMITH-BR6-ACID-CO,group,carboxylic_acids,1210.0,1320.0,48,0.938,0.019,0.96,0.81,1.01,3.33,0.96,False,5124,325,0.972,0.066,1.04,1.02,1.06,0.42,1.04,False,1.08
SMITH-BR6-ACID-OH-STR,group,carboxylic_acids,2500.0,3500.0,48,0.104,0.947,1.97,0.14,5.51,0.95,1.0,False,5124,325,0.44,0.622,1.16,0.99,1.39,0.9,1.02,False,0.59
SMITH-BR6-ACID-OH-IPB,group,carboxylic_acids,1395.0,1440.0,48,0.938,0.19,1.16,1.05,1.24,0.33,1.16,False,5124,325,0.865,0.381,1.4,1.23,1.47,0.36,1.4,False,1.21
SMITH-BR6-ACID-OH-OOP,group,carboxylic_acids,900.0,960.0,48,0.875,0.135,1.01,0.96,1.09,0.93,1.01,False,5124,325,0.877,0.282,1.22,1.05,1.3,0.44,1.22,False,1.21
SMITH-BR7-EST-SAT-CO,group,ester_saturated,1735.0,1755.0,128,0.398,0.991,43.25,18.43,116.37,0.61,2.89,False,5124,440,0.423,0.966,12.45,7.05,15.97,0.6,6.89,False,0.29
SMITH-BR7-EST-SAT-CCO,group,ester_saturated,1160.0,1210.0,128,0.508,0.746,2.0,1.25,2.75,0.66,0.86,False,5124,440,0.377,0.841,2.37,1.78,2.83,0.74,1.13,False,1.18
SMITH-BR7-EST-SAT-OCC,group,ester_saturated,1030.0,1100.0,128,0.281,0.715,0.99,0.56,1.43,1.01,1.03,False,5124,440,0.177,0.851,1.19,0.86,1.97,0.97,1.04,False,1.2
SMITH-BR7-EST-AR-CO,group,ester_aromatic,1715.0,1730.0,116,0.284,0.954,6.13,3.62,10.27,0.75,2.22,False,5124,169,0.29,0.934,4.37,2.34,6.58,0.76,3.44,False,0.71
SMITH-BR7-EST-AR-CCO,group,ester_aromatic,1250.0,1310.0,116,0.793,0.82,4.41,3.19,6.47,0.25,1.09,False,5124,169,0.686,0.8,3.44,2.6,4.02,0.39,1.19,False,0.78
SMITH-BR7-EST-AR-OCC,group,ester_aromatic,1100.0,1130.0,116,0.414,0.834,2.5,1.85,3.31,0.7,1.07,False,5124,169,0.237,0.917,2.87,1.93,4.07,0.83,1.45,False,1.15
SMITH-BR7-CARB-SAT-CO,group,carbonate_organic,1730.0,1750.0,2,0.0,0.937,2.63,,,0.89,0.64,True,5124,21,0.476,0.917,5.7,1.39,9.04,0.57,3.86,False,2.17
SMITH-BR7-CARB-SAT-OCO,group,carbonate_organic,1240.0,1280.0,2,0.5,0.777,2.25,,,0.64,0.66,True,5124,21,0.714,0.807,3.7,1.33,5.63,0.35,1.11,False,1.64
SMITH-BR7-CARB-MIX-CO,group,carbonate_organic,1760.0,1790.0,2,0.0,0.995,34.18,,,0.84,1.98,True,5124,21,0.19,0.974,7.42,1.45,20.14,0.83,5.2,False,0.22
SMITH-BR7-CARB-MIX-OCO,group,carbonate_organic,1210.0,1250.0,2,1.0,0.735,3.14,,,0.23,1.09,True,5124,21,0.286,0.817,1.56,0.29,3.25,0.87,0.75,False,0.5
SMITH-BR7-CARB-AR-CO,group,carbonate_organic,1775.0,1820.0,2,0.0,0.995,30.16,,,0.84,1.44,True,5124,21,0.143,0.985,9.59,1.19,30.45,0.87,3.17,False,0.32
SMITH-BR7-CARB-AR-OCO,group,carbonate_organic,1205.0,1230.0,2,1.0,0.825,4.76,,,0.2,1.51,True,5124,21,0.19,0.897,1.85,0.24,5.96,0.9,0.81,False,0.39
SMITH-BR7-CARB-OCC,group,carbonate_organic,1000.0,1060.0,2,0.5,0.765,2.13,,,0.65,0.89,True,5124,21,0.19,0.878,1.56,0.49,2.28,0.92,1.06,False,0.73
SMITH-BR8-AMD1-NH-STR,group,amide_primary,3170.0,3370.0,5,0.4,0.685,1.27,,,0.88,1.27,True,5124,100,0.93,0.684,2.94,2.62,3.25,0.1,2.94,False,2.31
SMITH-BR8-AMD-CO,group,amides,1630.0,1680.0,223,0.471,0.849,3.11,2.29,4.29,0.62,1.91,False,5124,635,0.507,0.872,3.97,2.18,5.64,0.57,2.38,False,1.28
SMITH-BR8-AMD1-SCIS,group,amide_primary,1620.0,1650.0,5,0.2,0.702,0.67,,,1.14,0.67,True,5124,100,0.54,0.745,2.12,1.35,2.67,0.62,2.12,False,3.16
SMITH-BR8-AMD1-CN,group,amide_primary,1390.0,1430.0,5,0.6,0.246,0.8,,,1.62,0.8,True,5124,100,0.78,0.422,1.35,1.14,1.47,0.52,1.35,False,1.69
SMITH-BR8-AMD1-WAG,group,amide_primary,600.0,750.0,5,1.0,0.022,0.94,,,3.82,0.94,True,1664,39,0.949,0.161,1.13,1.0,1.2,0.32,1.13,False,1.2
SMITH-BR8-AMD2-NH-STR,group,amide_secondary,3170.0,3370.0,147,0.939,0.751,3.77,3.22,4.51,0.08,3.77,False,5124,356,0.77,0.704,2.6,2.06,3.02,0.33,2.6,False,0.69
SMITH-BR8-AMD2-NH-IPB,group,amide_secondary,1515.0,1570.0,147,0.442,0.886,3.87,2.79,5.25,0.63,1.5,False,5124,356,0.388,0.849,2.57,1.47,3.93,0.72,1.64,False,0.66
SMITH-BR8-AMD2-CN,group,amide_secondary,1230.0,1310.0,147,0.905,0.064,0.97,0.86,1.04,1.49,0.97,False,5124,356,0.949,0.113,1.07,0.99,1.12,0.45,1.07,False,1.1
SMITH-BR8-AMD2-WAG,group,amide_secondary,680.0,750.0,147,0.973,0.047,1.02,0.98,1.06,0.57,1.02,False,5109,354,0.856,0.206,1.08,1.0,1.18,0.7,1.08,False,1.06
SMITH-BR8-AMN1-SAT-ASYM,group,amine_primary_saturated,3350.0,3380.0,13,0.692,0.92,8.66,6.03,13.06,0.33,8.66,False,5124,111,0.207,0.911,2.33,0.83,3.61,0.87,2.33,False,0.27
