file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split,x_min_cm,x_max_cm
C30956286_0,C30956286_0,C30956286,VHFJFUOFTHFTNI-UHFFFAOYSA-N,NNC(=O)CCl,"Not specified, most likely a prism, grating, or hybrid spect",627.6281930584322,4918.839153959666,2081,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C30958431_0,C30958431_0,C30958431,XSDRAAXSBITUQL-UHFFFAOYSA-N,CC(=O)NNc1nc[nH]c(=O)c1[N+](=O)[O-],PERKIN-ELMER 221 (GRATING),600.0,3903.98,2702,4,False,False,TRANSMISSION,confirm,600.0,3902.0
C30958646_0,C30958646_0,C30958646,VXUFKCGJKUZANA-UHFFFAOYSA-N,CC(=O)Nc1nc2ncc(CN(C(C)=O)c3ccc(C(=O)O)cn3)nc2c(=O)[nH]1,PERKIN-ELMER 521 (GRATING),254.312,3802.33,1965,4,False,False,TRANSMISSION,confirm,400.0,3802.0
C3101040_0,C3101040_0,C3101040,UCKZZIKEQLSXJR-UHFFFAOYSA-N,Clc1ccc(C=NNc2ccc(Cl)cc2)cc1,"Not specified, most likely a prism, grating, or hybrid spect",627.9710882110987,4882.8125,2026,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C31010512_0,C31010512_0,C31010512,COBZZWPZKRRPEN-UHFFFAOYSA-N,CCn1cnc2c(=O)[nH]cnc21,PERKIN-ELMER 21 (GRATING),612.636,4069.99,3441,2,False,False,TRANSMISSION,confirm,614.0,4000.0
C3102612_0,C3102612_0,C3102612,ZACXARIVELKBSR-UHFFFAOYSA-N,C=C(C)C1CC=C(C)C(=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1,"Not specified, most likely a grating spectrometer.",667.8554493665391,4933.399111988159,1943,4,False,False,TRANSMISSION,confirm,668.0,4000.0
C311284_0,C311284_0,C311284,DPKBAXPHAYBPRL-UHFFFAOYSA-M,CCCC[N+](CCCC)(CCCC)CCCC.[I-],"Not specified, most likely a prism, grating, or hybrid spect",627.1440487165497,4899.559039686428,2035,4,True,False,TRANSMISSION,confirm,628.0,4000.0
C3112854_1,C3112854_1,C3112854,JCDWETOKTFWTHA-UHFFFAOYSA-N,CS(=O)(=O)c1ccccc1,DOW KBr FOREPRISM-GRATING,454.0,3800.0,3347,2,False,False,TRANSMISSION,confirm,454.0,3800.0
C31148955_0,C31148955_0,C31148955,KSODEYYYINEFHT-UHFFFAOYSA-N,CC(C)c1ccc2c(c1)CCC1C(C)(C#N)CCCC21C,"Not specified, most likely a grating spectrometer.",645.8780065621206,4982.561036372696,1899,4,False,False,TRANSMISSION,confirm,646.0,4000.0
C31160108_0,C31160108_0,C31160108,NUIMACVJPXHSLA-UHFFFAOYSA-N,Cc1ccc(NP(=O)(Nc2ccc(C)cc2)Nc2ccc(C)cc2)cc1,PERKIN-ELMER,649.1525313702961,4950.495049504951,1986,4,False,False,TRANSMISSION,confirm,650.0,4000.0
C3117371_0,C3117371_0,C3117371,NANGQJICIOUURV-UHFFFAOYSA-N,O=C1Oc2ccccc2C1c1ccccc1,PERKIN-ELMER,648.760866744518,4901.9607843137255,2007,4,False,False,TRANSMISSION,confirm,650.0,4000.0
C31221688_0,C31221688_0,C31221688,HTUHWWQWBOTDDW-UHFFFAOYSA-N,Nc1nc(Cl)nc(Cl)c1[N+](=O)[O-],PERKIN-ELMER 21 (GRATING),603.959,4000.48,2605,2,False,False,TRANSMISSION,confirm,604.0,4000.0
C3122212_0,C3122212_0,C3122212,HHDUQHBAZZHUDC-UHFFFAOYSA-N,N#CC(c1ccccc1)(c1ccccc1)C(C#N)(c1ccccc1)c1ccccc1,"Not specified, most likely a prism, grating, or hybrid spect",676.471,3980.6,3521,4,False,False,TRANSMISSION,confirm,678.0,3980.0
C312732_1,C312732_1,C312732,MXFMPTXDHSDMTI-UHFFFAOYSA-N,FC(F)(F)c1nc2ccccc2[nH]1,UNICAM SP-200,650.103,4985.81,4867,2,False,False,TRANSMISSION,confirm,652.0,4000.0
C312947_1,C312947_1,C312947,MXIUWSYTQJLIKE-UHFFFAOYSA-N,O=C(Cl)c1ccccc1C(F)(F)F,BECKMAN IR-9 (GRATING),404.0,3800.0,3397,2,False,False,TRANSMISSION,confirm,404.0,3800.0
