file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split
982766ec-4afb-4a6f-9a04-cea9789d9c2e,634014,78451,IRSRPTQGLZTLGL-UHFFFAOYSA-N,CC(C)c1nc2ccccc2nc1N,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
985145a2-3ff1-46bd-a931-ba811c79d30b,499040,43852,JBHQGJXHBSEKOX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)N2CCCCCC2=O)cc1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
985e9ef2-d250-4d09-8604-eb546441617c,499176,43886,RGEZTMBESFPREL-UHFFFAOYSA-N,CCCCCCCCCCCCCCOC(=O)C(=O)O,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
986d0c28-1fed-40f1-bdda-12c795272917,607351,72408,DSMMAQWRRJQVTQ-UHFFFAOYSA-N,FC(F)(F)c1nc2ccccc2nc1Cl,Bruker IFS 88,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
986eb816-3ef8-40a5-8fba-1e2b21d162ac,514351,47569,OILOLZJYRKDNOH-UHFFFAOYSA-N,CCN(CC)c1ccc(-c2nc3cc(C(F)(F)F)ccc3s2)cc1,BRUKER ALPHA,373.82813,3997.4121,2560,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
9888c901-ec5a-4654-97e9-9a6e09cb5c62,501328,44424,OACCLBUDVIDJBI-UHFFFAOYSA-N,O=C(c1cccc2ccccc12)c1cn(Cc2ccc(C(F)(F)F)cc2)c2ccccc12,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
989d366f-b0a0-446b-8b74-05bf89c9ca98,500140,44127,VMBNKDPNTRHCJF-UHFFFAOYSA-N,Cc1ccc(-c2nnc(-c3c(-n4c5ccccc5c5ccccc54)c(C#N)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)o2)cc1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
98abc57b-4fa3-489f-b8f2-4acddd5c5ee3,501268,44409,VYPZGHXEPUXQIY-UHFFFAOYSA-N,[N-]=[N+]=NCc1cc(-c2ccc(C(=O)O)cc2)c(CN=[N+]=[N-])cc1-c1ccc(C(=O)O)cc1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
9930549d-e140-4856-80f5-928953bc16c2,607105,72363,CWFPSKVBKAPBPV-UHFFFAOYSA-N,CC(C)c1nc2ccccc2[nH]c1=O,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
99402120-8260-4686-b308-a017138e061b,639688,79657,PXDLUYLWPJMGJA-UHFFFAOYSA-N,Cc1nc2ccccc2nc1Cl,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
