rule_id,stratum,tier,group,truth_group,wn_min,wn_max,rule_intensity,rule_shape,requires,forbids,prominence,definition,n,n_pos,prevalence,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,LR_pos,LR_pos_lo,LR_pos_hi,LR_pos_boot_lo,LR_pos_boot_hi,LR_neg,LR_neg_lo,LR_neg_hi,underpowered,fp_enriched_groups
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.02,+intensity,1539,1069,0.695,654,137,415,333,0.612,0.709,0.827,0.445,2.1,1.81,2.44,,,0.55,0.5,0.6,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.02,+shape,1539,1069,0.695,654,137,415,333,0.612,0.709,0.827,0.445,2.1,1.81,2.44,1.75,2.59,0.55,0.5,0.6,False,esters OR=6.6 (n=6); ether_mixed OR=5.4 (n=9); methylene_chain_4 OR=4.9 (n=10)
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.05,position,1539,1069,0.695,560,106,509,364,0.524,0.774,0.841,0.417,2.32,1.95,2.77,,,0.61,0.57,0.67,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.05,+intensity,1539,1069,0.695,560,106,509,364,0.524,0.774,0.841,0.417,2.32,1.95,2.77,,,0.61,0.57,0.67,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.05,+shape,1539,1069,0.695,560,106,509,364,0.524,0.774,0.841,0.417,2.32,1.95,2.77,,,0.61,0.57,0.67,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.1,position,1539,1069,0.695,456,80,613,390,0.427,0.83,0.851,0.389,2.51,2.03,3.1,,,0.69,0.65,0.74,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.1,+intensity,1539,1069,0.695,456,80,613,390,0.427,0.83,0.851,0.389,2.51,2.03,3.1,,,0.69,0.65,0.74,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.1,+shape,1539,1069,0.695,456,80,613,390,0.427,0.83,0.851,0.389,2.51,2.03,3.1,,,0.69,0.65,0.74,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.01,position,1539,130,0.084,97,824,33,585,0.746,0.415,0.105,0.947,1.28,1.14,1.42,,,0.61,0.45,0.83,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.01,+intensity,1539,130,0.084,97,824,33,585,0.746,0.415,0.105,0.947,1.28,1.14,1.42,,,0.61,0.45,0.83,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.01,+shape,1539,130,0.084,97,824,33,585,0.746,0.415,0.105,0.947,1.28,1.14,1.42,,,0.61,0.45,0.83,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.02,position,1539,130,0.084,96,775,34,634,0.738,0.45,0.11,0.949,1.34,1.2,1.5,,,0.58,0.43,0.78,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.02,+intensity,1539,130,0.084,96,775,34,634,0.738,0.45,0.11,0.949,1.34,1.2,1.5,,,0.58,0.43,0.78,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.02,+shape,1539,130,0.084,96,775,34,634,0.738,0.45,0.11,0.949,1.34,1.2,1.5,1.08,1.59,0.58,0.43,0.78,False,aromatics OR=4.5 (n=755); nitrile_aromatic OR=3.9 (n=52); nitriles OR=3.8 (n=54)
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.05,position,1539,130,0.084,87,659,43,750,0.669,0.532,0.117,0.946,1.43,1.25,1.63,,,0.62,0.48,0.8,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.05,+intensity,1539,130,0.084,87,659,43,750,0.669,0.532,0.117,0.946,1.43,1.25,1.63,,,0.62,0.48,0.8,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.05,+shape,1539,130,0.084,87,659,43,750,0.669,0.532,0.117,0.946,1.43,1.25,1.63,,,0.62,0.48,0.8,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.1,position,1539,130,0.084,74,571,56,838,0.569,0.595,0.115,0.937,1.4,1.19,1.65,,,0.72,0.59,0.89,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.1,+intensity,1539,130,0.084,74,571,56,838,0.569,0.595,0.115,0.937,1.4,1.19,1.65,,,0.72,0.59,0.89,False,
SMITH-BR4-CH2-ROCK,main,group,methylene,methylene_chain_4,710.0,730.0,any,any,,,0.1,+shape,1539,130,0.084,74,571,56,838,0.569,0.595,0.115,0.937,1.4,1.19,1.65,,,0.72,0.59,0.89,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.01,position,1539,344,0.224,338,1126,6,69,0.983,0.058,0.231,0.92,1.04,1.02,1.06,,,0.3,0.13,0.69,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.01,+intensity,1539,344,0.224,338,1126,6,69,0.983,0.058,0.231,0.92,1.04,1.02,1.06,,,0.3,0.13,0.69,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.01,+shape,1539,344,0.224,338,1126,6,69,0.983,0.058,0.231,0.92,1.04,1.02,1.06,,,0.3,0.13,0.69,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.02,position,1539,344,0.224,335,1112,9,83,0.974,0.069,0.232,0.902,1.05,1.02,1.07,,,0.38,0.19,0.74,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.02,+intensity,1539,344,0.224,335,1112,9,83,0.974,0.069,0.232,0.902,1.05,1.02,1.07,,,0.38,0.19,0.74,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.02,+shape,1539,344,0.224,335,1112,9,83,0.974,0.069,0.232,0.902,1.05,1.02,1.07,1.01,1.08,0.38,0.19,0.74,False,methylene_chain_4 OR=17.3 (n=104); aromatic_ortho OR=14.4 (n=88); nitro OR=6.6 (n=42)
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.05,position,1539,344,0.224,333,1056,11,139,0.968,0.116,0.24,0.927,1.1,1.07,1.13,,,0.27,0.15,0.5,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.05,+intensity,1539,344,0.224,333,1056,11,139,0.968,0.116,0.24,0.927,1.1,1.07,1.13,,,0.27,0.15,0.5,False,
SMITH-BR4-BZ-MONO-OOP,main,group,monosubstituted benzene,aromatic_mono,710.0,770.0,any,any,,,0.05,+shape,1539,344,0.224,333,1056,11,139,0.968,0.116,0.24,0.927,1.1,1.07,1.13,,,0.27,0.15,0.5,False,
