id,index,status,phase,state_text,bytes
C75387,1,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32175
C75387,2,ok,condensed,"SOLUTION, SATURATED (CCl4 FOR 3800-1330, CS2 FOR 1330-500 CM^-^1)",32519
C75387,3,end,,,0
C381737,0,ok,gas,gas,14124
C381737,1,end,,,0
C353833,0,ok,gas,gas,7238
C353833,1,end,,,0
C88905866,0,ok,unknown,TRANSMISSION,19171
C88905866,1,end,,,0
C26947660,0,ok,condensed,SOLID (KBr PELLET),19225
C26947660,1,end,,,0
C107222,0,ok,condensed,liquid,302222
C107222,1,end,,,0
C1319466,0,ok,condensed,SOLID (MINERAL OIL MULL OF CS2 INSOLUBLES),28429
C1319466,1,end,,,0
C593602,0,ok,gas,gas,4187
C598209,0,ok,condensed,"SOLUTION (10% CCl4 FOR 2.5-7.5, 10% CS2 FOR 7.5-15 MICRON)",19685
C598209,1,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1340, AND 10% IN CS2 FOR 1340-400 CM^-^1)",38030
C598209,2,end,,,0
C594172,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19123
C594172,1,end,,,0
C78740,0,ok,gas,gas,4181
C78740,1,end,,,0
C75809,0,ok,condensed,"SOLUTION (10% CCl4 FOR 2-7.5, 10% CS2 FOR 7.5-16.0 MICRON)",26481
C75809,1,end,,,0
C676926,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19099
C676926,1,end,,,0
C506967,0,ok,condensed,"SOLUTION (10% CCl4 FOR 3800-1330, 10% CS2 FOR 1330-450 CM^-^1)",28525
C506967,1,end,,,0
C75014,0,ok,gas,gas,4850
C75014,1,ok,gas,GAS (7 mmHg DILUTED TO A TOTAL PRESSURE OF 700 mmHg WITH N2),36168
C75014,2,end,,,0
C594729,0,ok,gas,gas,4217
C594729,1,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1330, 10% IN CS2 FOR 1330-450 CM^-^1)",34325
C594729,2,end,,,0
C71556,0,ok,gas,gas,3929
C71556,1,ok,gas,"GAS (90 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32289
C71556,2,ok,unknown,TRANSMISSION,13041
C71556,3,ok,gas,gas,29584
C71556,4,ok,gas,gas,57854
C71556,5,ok,gas,gas,114616
C71556,6,ok,gas,gas,220739
C79005,0,ok,gas,gas,4120
C79005,1,ok,gas,"GAS (15 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32273
C79005,2,ok,unknown,TRANSMISSION,12973
C79005,3,ok,gas,gas,31432
C79005,4,ok,gas,gas,62085
C79005,5,ok,gas,gas,123539
